"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"77QJFVWS","journalArticle","2011","López-López, Wilson; Silva, Luis Manuel; García-Cepero, Maria Caridad; Aguilar-Bustamante, María Constanza; Aguado López, Eduardo","Challenges for national and international collaboration in Latin-American Psychology: An analysis of the redalyc system, 2005-2007","Estudos de Psicologia (Natal)","","","","","Collaboration and co-authorship in scientific publications have been shown to predict quality and impact, but it has also been suggested that the tendency to collaborate depends on the subject area and the region. Through a study of Psychology Latinamerican publications covered by the Redalyc system between 2005 and 2007, data were obtained that allowed for the assessment of national and international collaboration in Latinamerican Psychology. Results suggest that cooperation networks should be strengthened and cooperative research and publication practices should be modified, in order to foster collaboration in research publication in Latinamerican Psychology.","2011","2019-03-05 03:00:55","2019-03-05 03:00:55","","","","1","16","","","","","","","","","","","All rights reserved","","","","","","","","","","Psychology; Scientometrics; Co-authorship; Latin America","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67UGBTTL","journalArticle","1998","López-López, Wilson; Calvache, Omar","La Psicología de habla hispana: 30 años de la Revista Latinoamericana de Psicología","Revista Latinoamericana de Psicología","","","","","","1998","2019-03-05 03:01:09","2022-06-03 20:56:46","","401-427","","3","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7JNEWIC","journalArticle","2015","López-López, Wilson; de Moya Anegón, Félix; Acevedo-Triana, César Andrés; Garcia, Agnaldo; Silva, Luis Manuel","Visibility and Cooperation in Iberoamerican Psychology","Psicologia: Reflexão e Crítica","","","","","","2015","2019-03-05 03:01:10","2022-06-04 16:24:19","","72-81","","S","28","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2E7KXLX","journalArticle","2010","López-López, Wilson; Silva, Luis Manuel; García-Cepero, María Caridad; Aguilar-Bustamante, María Constanza; Aguado-López, E.; López, Wilson López; Silva, Luis Manuel; García-Cepero, María Caridad; Aguilar-Bustamante, María Constanza; Aguado-López, E.","Panorama general de la producción académica en la psicología Colombiana indexada en Psicoredalyc, 2005-2007","Acta Colombiana de Psicología","","","","","","2010","2019-03-05 03:01:11","2019-03-05 03:01:11","","35-46","","2","13","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPSWSFV9","journalArticle","2012","López-López, Wilson; Silva, Luis Manuel","Análisis metacontingencial, prácticas culturales y problemas sociales","Revista Latinoamericana de Psicología","","","","","","2012","2019-03-05 03:01:12","2019-03-05 03:01:12","","7-7","","1","44","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KS524NT","journalArticle","2016","López-López, Wilson; Silva, Luis Manuel; Castro Abril, Pablo; Caicedo Moreno, Angélica","Actitudes implícitas de estudiantes universitarios frente al perdón en el marco del conflicto armado colombiano","Pensamiento Psicológico","","","","","","2016","2019-03-05 03:01:12","2019-03-05 03:01:12","","49-62","","2","14","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FAYPBF9","journalArticle","2010","López, Wilson López; Silva, Luis Manuel","OJS as a Tool for Information Technology Integration and Cultural Change: A Case Study in Colombia","Scholarly and Research Communication","","","","","","2010","2019-03-05 03:01:12","2019-03-05 03:01:12","","","","1","1","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67C9PLV6","journalArticle","2012","Del Rio Forero, Daniel; García, Diego Alejandro; Silva, Luis Manuel; López-López, Wilson","Análisis metacontingencial de la Ley de ""Justicia y Paz"" (975 de 2005) en Colombia","Revista Latinoamericana de Psicología","","","","","","2012","2019-03-05 03:01:12","2019-06-05 14:30:35","","149-157","","1","44","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XWNKF37","journalArticle","2011","López, Wilson López; Silva, Luis Manuel; García-Cepero, María Caridad; Aguilar-Bustamante, María Constanza; Aguado-López, E.","Retos para la colaboración nacional e internacional en la psicología latinoamericana: un análisis del sistema RedALyC, 2005-2007","Estudos de Psicologia (Natal)","","","","","","2011","2019-03-05 03:01:12","2019-03-05 03:01:12","","17-22","","1","16","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YF43N993","journalArticle","2015","López-López, Wilson; Anegón, Félix de Moya; Acevedo-Triana, César Andrés; Garcia, Agnaldo; Silva, Luis M.","Psychological research collaboration and visibility in Iberoamerica","Psicologia: Reflexão e Crítica","","","","","","2015","2019-03-05 03:01:12","2022-06-04 16:23:51","","72-81","","","28","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8PQXFIWL","journalArticle","2015","López-López, Wilson","Why Open Access?","Universitas Psychologica","","","","","","2015","2019-03-05 03:01:37","2019-03-05 03:01:37","","1-2","","3","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H6UXCMA","journalArticle","2013","López-López, Wilson; Pineda Marín, Claudia; Murcia León, María Camila; Perilla Garzón, Diana Carolina; Mullet, Etienne","Forgiving Perpetrators of Violence: Colombian People’s Positions","Social Indicators Research","","","10.1007/s11205-012-0146-1","http://link.springer.com/10.1007/s11205-012-0146-1","","2013","2019-03-05 03:04:25","2019-07-02 17:22:53","","287-301","","2","114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FT7SVKM","journalArticle","2012","López-López, Wilson; Pineda Marín, Claudia; Murcia León, María Camila; Perilla Garzón, Diana Carolina; Mullet, Etienne","Colombian Lay People's Willingness to Forgive Different Actors of the Armed Conflict: Results from a Pilot Study","Psicologica: International Journal of Methodology and Experimental Psychology","","","","http://www.eric.ed.gov/ERICWebPortal/search/detailmini.jsp?_nfpb=true&_&ERICExtSearch_SearchValue_0=EJ980499&ERICExtSearch_SearchType_0=no&accno=EJ980499","","2012","2019-03-05 03:04:25","2019-07-02 17:24:42","","655-663","","3","33","","","","","","","","","","en","","","","","","","","","C:\Users\Luis\Zotero\storage\YZZVMGT4\López-López et al. - Unknown - Colombian Lay People's Willingness to Forgive Different Actors of the Armed Conflict Results from a Pilot.pdf","","Violence; Conflict; Foreign Countries; Lay People; Military Personnel; Pilot Projects; Prosocial Behavior; Vignettes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQEKJWR8","newspaperArticle","2008","López-López, Wilson; Aguilar-Bustamante, María Constanza; Gamboa, Juan Pablo; Hurtado, Camilo; Silva, Luis Manuel","Behavior Analysis and Knowledge Societies: Challenges and Opportunities","ABAI Newsletter","","","","http://www.abainternational.org/ABA/newsletter/vol312/ABAcolombia.asp","","2008","2019-03-05 03:04:44","2019-03-05 03:04:44","","","","","","","","","","","","","","Portage, Michigan","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LULNTLE","journalArticle","2010","López-López, Wilson; García-Cepero, María Caridad; Aguilar-Bustamante, María Constanza; Silva, Luis Manuel; Aguado-López, E.","Panorama general de la producción académica en la psicología iberoamericana, 2005-2007","Papeles del Psicólogo","","","","http://www.papelesdelpsicologo.es/vernumero.asp?id=1859","","2010","2019-03-05 03:04:44","2019-03-05 03:04:44","","296-309","","3","31","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65LBQ2VQ","journalArticle","2018","López López, Wilson; Sandoval Alvarado, Gonzalo; Rodríguez, Sebastián; Ruiz, Camila; León, Juan David; Pineda-Marín, Claudia; Mullet, Etienne","Forgiving former perpetrators of violence and reintegrating them into colombian civil society: Noncombatant citizens’ positions.","Peace and Conflict: Journal of Peace Psychology","","1532-7949, 1078-1919","10.1037/pac0000295","http://doi.apa.org/getdoi.cfm?doi=10.1037/pac0000295","","2018-05","2019-04-20 14:57:54","2019-04-20 14:57:54","2019-04-20 14:57:54","201-215","","2","24","","","Forgiving former perpetrators of violence and reintegrating them into colombian civil society","","","","","","","en","","","","","Crossref","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
