Título;n.art;Area;Quartile
Acta Biologica Colombiana;1;Agricultural and Biological Sciences (all);3
Acta Colombiana de Psicologia;5;Psychology (all);4
Acta Neurologica Colombiana;2;NA;NA
Actualidades Investigativas en Educacion;1;NA;NA
Anales de Psicologia;1;Psychology (all);2
Anfora: Revista Cientifica de la Universidad Autonoma de Manizales;1;NA;NA
Anuario de Psicologia Juridica;1;Law;1
Athenea Digital. Revista de pensamiento e investigacion social;1;NA;NA
Avances en Psicologia Latinoamericana;2;Clinical Psychology;4
Brain;1;Neurology (clinical);1
Busqueda;1;NA;NA
Child Development;1;Education;1
Ciencia e Innovacion en Salud;1;NA;NA
Conflict Resolution Quarterly;1;Law;1
Cortex;1;Experimental and Cognitive Psychology;1
Cuadernos de Administracion;1;Economics, Econometrics and Finance (all);4
Desidades;1;NA;NA
Diversitas: Perspectivas en Psicologia;3;NA;NA
Estudos de Psicologia (Campinas);1;Psychology (all);3
Estudos de Psicologia (Natal);2;NA;NA
Feminism & Psychology;1;NA;NA
Fractal: Revista de Psicologia;1;NA;NA
Frontiers in Psychology;4;Psychology (all);2
Geopolitica(s): Revista de estudios sobre espacio y poder;1;NA;NA
Gerencia y Politicas de Salud;2;NA;NA
Ikala;1;Language and Linguistics;2
Integrative Psychological and Behavioral Science;1;Cultural Studies;1
Interdisciplinaria Revista de Psicologia y Ciencias Afines;2;NA;NA
International Journal of Behavioral Consultation and Therapy;1;NA;NA
International Journal of Behavioral Development;1;Social Sciences (miscellaneous);1
International Journal of Psychological Studies;1;NA;NA
International Journal of Social Psychology;1;NA;NA
"Investigacion Bibliotecologica: Archivonomia; Bibliotecologia e Informacion";2;NA;NA
Investigacion en Enfermeria: Imagen y Desarrollo;1;NA;NA
Journal of Cancer Education;1;Public Health, Environmental and Occupational Health;2
"Journal of Neurology; Neurosurgery & Psychiatry";1;NA;NA
Journal of Transport & Health;1;NA;NA
Justicia;1;NA;NA
Malaysian Journal of Library & Information Science;1;NA;NA
Masculinities & Social Change;1;NA;NA
Metapolitica;1;NA;NA
Nomadas;3;Philosophy;4
Ocnos: Revista de estudios sobre lectura;1;NA;NA
Paideia (Ribeirao Preto);1;NA;NA
Papeles del CEIC;1;NA;NA
Papeles del Psicologo;2;Psychology (all);3
Parkinson's Disease;1;Psychiatry and Mental Health;2
Peace and Conflict: Journal of Peace Psychology;3;NA;NA
Peace Review;1;Arts and Humanities (all);2
Pensamiento Psicologico;1;NA;NA
Pesquisas e Praticas Psicossociais;2;NA;NA
PLOS ONE;1;NA;NA
Polisemia;1;NA;NA
Political Psychology;1;Philosophy;1
Prometeica - Revista de Filosofia y Ciencias;2;NA;NA
Psicogente;3;NA;NA
Psicologia desde el Caribe;2;NA;NA
Psicologia Iberoamericana;1;NA;NA
Psicologia: Reflexao e Critica;2;Psychology (all);2
Psicologica: International Journal of Methodology and Experimental Psychology;1;NA;NA
Psicologica: Revista de metodologia y psicologia experimental;1;NA;NA
Psicoperspectivas. Individuo y Sociedad;2;NA;NA
Psicothema;1;Psychology (all);1
PSIENCIA. Revista Latinoamericana de Ciencia Psicologica;1;NA;NA
Psychologia. Avances de la Disciplina;1;NA;NA
Psychology and Mental Health Care;1;NA;NA
Psychosocial Intervention;2;Social Psychology;1
Psykhe (Santiago);4;NA;NA
Quaderns de Psicologia;1;NA;NA
Revista Argentina de Clinica Psicologica;2;NA;NA
Revista Chilena de Anestesia;1;Anesthesiology and Pain Medicine;4
Revista Chilena de Neuropsicologia;1;NA;NA
Revista Colombiana de Psicologia;2;Social Sciences (miscellaneous);2
Revista Colombiana de Psiquiatria;2;Psychiatry and Mental Health;3
Revista Costarricense de Psicologia;2;NA;NA
Revista Criminalidad;1;Law;3
Revista de Estudios Sociales;1;History;1
Revista de Gerencia de Politicas en Salud;1;NA;NA
Revista de la Facultad Nacional de Salud Publica;3;NA;NA
Revista de Psicologia;1;NA;NA
Revista Electronica de Investigacion Educativa;1;Education;2
Revista Facultad Nacional de Salud Publica;2;Health Information Management;4
Revista Guillermo de Ockham;1;NA;NA
Revista Iberoamericana de Psicologia;2;NA;NA
Revista Iberoamericana de Psicologia y Salud;1;Psychology (all);1
Revista Iberoamericana de Psicologia: Ciencia y Tecnologia;1;NA;NA
Revista Interamericana de Psicologia;1;NA;NA
Revista Latinoamericana de Psicologia;9;Social Sciences (miscellaneous);2
Revista Latinoamericana Estudios de la Paz y el Conflicto;1;NA;NA
Revista Mexicana de Neurociencia;1;NA;NA
Revista Mexicana de Psicologia;1;Psychology (all);3
Revista musical chilena;1;NA;NA
Revista Salud Bosque;1;NA;NA
Revista signos;1;NA;NA
Scholarly and Research Communication;1;NA;NA
Social Indicators Research;3;Sociology and Political Science;1
Sociedad y Economia;1;NA;NA
Subjectivity;1;Social Psychology;3
Suma Psicologica;5;Psychology (all);3
Terapia psicologica;5;NA;NA
Tesis Psicologica;1;NA;NA
Texto & Contexto - Enfermagem;1;NA;NA
The Journal of Neuroscience;1;NA;NA
The Psychological Record;1;NA;NA
Transport Policy;1;Geography, Planning and Development;1
Universitas Humanistica;1;NA;NA
Universitas Medica;1;NA;NA
Universitas Psychologica;24;Psychology (all);3
Wimb Lu;1;NA;NA
